Company,Location,Date of Posting,Total Compensation,Base,Stock,Bonuses
Cisco,"San Jose, CA",2022-10-03 00:00:00,179717,151000,16700,12100
Anyscale,"San Francisco, CA",2022-09-22 00:00:00,178500,150000,28500,N/A
Cisco,"Milpitas, CA",2022-09-26 00:00:00,178000,152000,16000,10000
WePay,"Palo Alto, CA",2022-09-27 00:00:00,178000,150500,N/A,27500
Nvidia,"Santa Clara, CA",2022-10-04 00:00:00,177500,150000,27500,N/A
Facebook,"Menlo Park, CA",2022-10-05 00:00:00,177500,150000,7500,20000
Apple,"Cupertino, CA",2022-09-17 00:00:00,177500,140000,26300,11300
Tesla,"Palo Alto, CA",2022-09-06 00:00:00,177500,135000,42500,N/A
SpaceX,"San Francisco, CA",2022-09-29 00:00:00,177250,123000,48000,6300
SpaceX,"Mountain View, CA",2022-09-30 00:00:00,177250,123000,48000,6300
Salesforce,"San Francisco, CA",2022-09-29 00:00:00,176800,138000,25000,13800
Google,"San Francisco, CA",2022-09-06 00:00:00,176200,135000,25000,16200
Walmart,"Sunnyvale, CA",2022-09-18 00:00:00,176000,145000,8000,23000
eBay,"San Jose, CA",2022-09-12 00:00:00,175075,137000,13800,24300
Rakuten,"San Mateo, CA",2022-09-20 00:00:00,175000,140000,15000,20000
Ladder,"Palo Alto, CA",2022-09-28 00:00:00,175000,130000,40000,5000
WePay,"Palo Alto, CA",2022-09-22 00:00:00,175000,147000,N/A,28000
Facebook,"Menlo Park, CA",2022-09-13 00:00:00,175000,125000,50000,N/A
Blend,"San Francisco, CA",2022-09-23 00:00:00,175000,130000,45000,N/A
Sumo Logic,"Redwood City, CA",2022-09-30 00:00:00,175000,150000,25000,N/A
Cisco,"San Jose, CA",2022-09-30 00:00:00,174600,132000,36000,6600
VMware,"Palo Alto, CA",2022-09-12 00:00:00,173700,113700,40000,20000
Uber,"San Francisco, CA",2022-09-13 00:00:00,173168,128000,25400,19800
Intuitive,"Sunnyvale, CA",2022-09-07 00:00:00,173000,137500,15500,20000
Apple,"Cupertino, CA",2022-09-13 00:00:00,172000,135000,37000,N/A
Amazon,"San Francisco, CA",2022-09-19 00:00:00,171000,138000,10000,23000
Zoox,"Foster City, CA",2022-09-22 00:00:00,170833,150000,8300,12500
Salesforce,"San Francisco, CA",2022-09-18 00:00:00,170538,141000,6300,23300
LinkedIn,"Santa Clara, CA",2022-09-12 00:00:00,170000,140000,30000,N/A
Genentech,"San Francisco, CA",2022-09-20 00:00:00,170000,150000,20000,N/A
AMD,"Santa Clara, CA",2022-09-17 00:00:00,170000,150000,20000,N/A
Turo,"San Francisco, CA",2022-09-29 00:00:00,170000,150000,18800,1300
Rivian,"San Francisco, CA",2022-09-06 00:00:00,170000,140000,30000,N/A
Databricks,"San Francisco, CA",2022-09-06 00:00:00,170000,135000,25000,10000
Uber,"San Francisco, CA",2022-09-11 00:00:00,170000,140000,30000,N/A
DoorDash,"San Francisco, CA",2022-09-06 00:00:00,169000,139000,30000,N/A
Zillow,"San Francisco, CA",2022-09-22 00:00:00,168750,130000,32500,6300
Apple,"San Francisco, CA",2022-09-09 00:00:00,168750,140000,22500,6300
Flexport,"San Francisco, CA",2022-09-30 00:00:00,168500,135000,20000,13500
Palo Alto Networks,"Santa Clara, CA",2022-09-28 00:00:00,167500,130000,20000,17500
Apple,"Cupertino, CA",2022-09-22 00:00:00,167340,125000,30000,12300
Addepar,"Mountain View, CA",2022-09-14 00:00:00,165780,136000,23300,6500
Cisco,"San Francisco, CA",2022-09-23 00:00:00,165500,135000,17500,13000
N/A,N/A,N/A,165080,130000,22100,13000
Shipt,"San Francisco, CA",2022-09-08 00:00:00,165000,145000,N/A,20000
Google,"San Francisco, CA",2022-09-09 00:00:00,165000,140000,25000,N/A
Yahoo,"San Jose, CA",2022-09-25 00:00:00,165000,140000,5000,20000
Palo Alto Networks,"Santa Clara, CA",2022-09-08 00:00:00,164250,125000,21300,18000
Oracle,"San Francisco, CA",2022-09-28 00:00:00,163750,120000,43800,N/A
Oracle,"Redwood City, CA",2022-09-28 00:00:00,163750,120000,43800,N/A
DroneDeploy,"Fremont, CA",2022-09-24 00:00:00,162500,125000,27500,10000
QuantumScape,"San Jose, CA",2022-09-26 00:00:00,162375,115000,22500,24900
Oracle,"Redwood City, CA",2022-09-07 00:00:00,162204,128600,28600,5000
Pure Storage,"Mountain View, CA",2022-09-17 00:00:00,161500,125000,24000,12500
Intuit,"Mountain View, CA",2022-09-22 00:00:00,161250,130000,31300,N/A
KLA,"Milpitas, CA",2022-09-08 00:00:00,161000,135000,26000,N/A
C3.ai,"Redwood City, CA",2022-09-26 00:00:00,161000,126000,17000,18000
Marvell,"Santa Clara, CA",2022-09-19 00:00:00,161000,124000,25000,12000
KLA,"Milpitas, CA",2022-09-07 00:00:00,161000,135000,26000,N/A
ServiceNow,"San Francisco, CA",2022-09-13 00:00:00,160300,133000,14000,13300
Cisco,"San Francisco, CA",2022-09-28 00:00:00,160000,142000,8000,10000
N/A,N/A,N/A,160000,160000,N/A,N/A
ByteDance,"Mountain View, CA",2022-09-30 00:00:00,160000,120000,20000,20000
PayPal,"San Jose, CA",2022-09-24 00:00:00,160000,135000,15000,10000
N/A,N/A,N/A,160000,160000,N/A,N/A
Applied Materials,"Santa Clara, CA",2022-09-27 00:00:00,160000,150000,10000,N/A
Intuit,"Mountain View, CA",2022-09-15 00:00:00,156250,125000,16300,15000
Intuit,"Mountain View, CA",2022-09-08 00:00:00,156250,125000,16300,15000
Nvidia,"Santa Clara, CA",2022-09-18 00:00:00,155750,135000,17000,3800
Capital One,"San Francisco, CA",2022-09-29 00:00:00,155625,144000,N/A,11600
Amazon,"Sunnyvale, CA",2022-09-23 00:00:00,155000,135000,20000,N/A
Microsoft,"Mountain View, CA",2022-10-04 00:00:00,155000,130000,25000,N/A
Facebook,"San Francisco, CA",2022-09-29 00:00:00,153500,123000,10500,20000
Uber,"San Francisco, CA",2022-09-11 00:00:00,153500,128300,25300,N/A
Thermo Fisher Scientific,"San Jose, CA",2022-09-10 00:00:00,153000,130000,10000,13000
N/A,N/A,N/A,152500,152500,N/A,N/A
A10 Networks,"San Jose, CA",2022-09-28 00:00:00,152388,133000,3100,16300
Walmart Global Tech,"Sunnyvale, CA",2022-09-13 00:00:00,152150,115000,15000,22200
A10 Networks,"San Jose, CA",2022-09-24 00:00:00,151850,133000,3800,15100
Capital One,"San Francisco, CA",2022-09-23 00:00:00,151125,144000,N/A,7100
Facebook,"Menlo Park, CA",2022-10-01 00:00:00,150002,150000,N/A,N/A
Scale AI,"San Francisco, CA",2022-09-20 00:00:00,150000,150000,N/A,N/A
WeRide.ai,"San Francisco, CA",2022-10-04 00:00:00,150000,150000,N/A,N/A
Slalom,"San Francisco, CA",2022-09-20 00:00:00,150000,140000,N/A,10000
Bloom Energy,"San Jose, CA",2022-09-23 00:00:00,150000,110000,30000,10000
SAP,"Palo Alto, CA",2022-09-06 00:00:00,150000,137000,N/A,13000
Unit21,"San Francisco, CA",2022-10-03 00:00:00,150000,150000,N/A,N/A
Facebook,"San Francisco, CA",2022-10-03 00:00:00,150000,140000,10000,N/A
Lacework,"San Jose, CA",2022-09-07 00:00:00,150000,150000,N/A,N/A
Microsoft,"Mountain View, CA",2022-09-22 00:00:00,150000,150000,N/A,N/A
Amazon,"Palo Alto, CA",2022-09-14 00:00:00,148400,148400,N/A,N/A
Cloudian,"San Francisco, CA",2022-09-08 00:00:00,148000,138000,10000,N/A
Cloudian,"San Mateo, CA",2022-10-03 00:00:00,148000,138000,10000,N/A
Apple,"Sunnyvale, CA",2022-09-17 00:00:00,147500,130000,17500,N/A
JPMorgan Chase,"Palo Alto, CA",2022-09-30 00:00:00,147500,125000,N/A,22500
Sitecore,"San Francisco, CA",2022-10-04 00:00:00,147000,129000,N/A,18000
eBay,"San Francisco, CA",2022-09-19 00:00:00,147000,134000,13000,N/A
Amazon,"San Francisco, CA",2022-09-22 00:00:00,146000,146000,N/A,N/A
Amazon,"San Francisco, CA",2022-09-20 00:00:00,145000,120000,25000,N/A
West Monroe,"San Francisco, CA",2022-10-05 00:00:00,145000,145000,N/A,N/A
Cruise,"San Francisco, CA",2022-09-26 00:00:00,145000,145000,N/A,N/A
Shipt,"San Francisco, CA",2022-09-09 00:00:00,145000,145000,N/A,N/A
Walmart Global Tech,"Sunnyvale, CA",2022-09-23 00:00:00,145000,115000,15000,15000
Walmart Global Tech,"Sunnyvale, CA",2022-09-30 00:00:00,145000,125000,20000,N/A
A10 Networks,"San Jose, CA",2022-09-08 00:00:00,143913,126000,3600,14400
Shopify,"San Francisco, CA",2022-09-28 00:00:00,142000,127000,15000,N/A
ChargePoint,"Campbell, CA",2022-09-09 00:00:00,142000,122000,20000,N/A
KLA,"Milpitas, CA",2022-09-27 00:00:00,141700,118000,6000,17700
Cisco,"Milpitas, CA",2022-10-05 00:00:00,141250,125000,6300,10000
Unity Technologies,"San Francisco, CA",2022-09-24 00:00:00,141125,118000,21300,1900
Intuit,"Mountain View, CA",2022-09-08 00:00:00,141000,125000,16000,N/A
Google,"San Francisco, CA",2022-09-14 00:00:00,140500,128000,12500,N/A
SambaNova Systems,"Palo Alto, CA",2022-09-28 00:00:00,140000,140000,N/A,N/A
Kohl's,"San Francisco, CA",2022-09-16 00:00:00,140000,127000,N/A,13000
Gap,"San Francisco, CA",2022-09-09 00:00:00,140000,130000,N/A,10000
Google,"San Francisco, CA",2022-09-19 00:00:00,140000,100000,40000,N/A
SiriusXM,"Oakland, CA",2022-09-20 00:00:00,140000,130000,10000,N/A
Forward,"San Francisco, CA",2022-09-09 00:00:00,139775,133000,6800,N/A
N/A,N/A,N/A,139500,109500,N/A,30000
Unity Technologies,"San Francisco, CA",2022-09-12 00:00:00,139000,127000,12000,N/A
BlackRock,"San Francisco, CA",2022-09-24 00:00:00,139000,129000,N/A,10000
Oracle,"Redwood City, CA",2022-09-24 00:00:00,138438,120000,10900,7500
HPE,"San Jose, CA",2022-09-20 00:00:00,137500,130000,2500,5000
Five9,"San Francisco, CA",2022-10-04 00:00:00,136000,110000,20000,6000
Apartment List,"San Francisco, CA",2022-09-06 00:00:00,135000,135000,N/A,N/A
Okcoin,"San Francisco, CA",2022-09-19 00:00:00,135000,120000,15000,N/A
N/A,N/A,N/A,132912,132900,N/A,N/A
Vouch Insurance,"San Francisco, CA",2022-09-20 00:00:00,130998,120000,11000,N/A
Lucid Motors,"Newark, CA",2022-09-15 00:00:00,130000,120000,10000,N/A
Fortinet,"San Francisco, CA",2022-10-02 00:00:00,130000,120000,10000,N/A
IBM,"San Francisco, CA",2022-10-03 00:00:00,130000,130000,N/A,N/A
Verily,"Mountain View, CA",2022-09-30 00:00:00,128960,129000,N/A,N/A
Striim,"Palo Alto, CA",2022-10-04 00:00:00,128800,128800,N/A,N/A
Visa,"Palo Alto, CA",2022-10-03 00:00:00,128000,128000,N/A,N/A
Visa,"Foster City, CA",2022-09-08 00:00:00,126666,110000,6700,N/A
Cisco,"San Jose, CA",2022-10-03 00:00:00,125320,113400,6300,5700
eBay,"San Jose, CA",2022-09-18 00:00:00,125000,115000,10000,N/A
IXL Learning,"San Mateo, CA",2022-10-02 00:00:00,125000,125000,N/A,N/A
Verizon,"San Francisco, CA",2022-09-18 00:00:00,125000,125000,N/A,N/A
Nightfall,"San Francisco, CA",2022-10-03 00:00:00,125000,110000,15000,N/A
Visa,"Foster City, CA",2022-09-07 00:00:00,124667,110000,6700,8000
Raytheon,"San Jose, CA",2022-09-08 00:00:00,123005,118000,N/A,5000
Cisco,"San Jose, CA",2022-09-29 00:00:00,123000,115000,N/A,8000
Grove Collaborative,"San Francisco, CA",2022-09-23 00:00:00,123000,120000,3000,N/A
Cisco,"San Jose, CA",2022-09-24 00:00:00,122805,113100,N/A,9700
AVEVA,"San Leandro, CA",2022-09-06 00:00:00,122750,119000,N/A,3800
Dell Technologies,"Santa Clara, CA",2022-09-25 00:00:00,122750,115000,N/A,7800
Chevron,"San Ramon, CA",2022-09-07 00:00:00,121750,106000,N/A,15800
Coinbase,"San Francisco, CA",2022-09-20 00:00:00,120000,100000,20000,N/A
Google,"San Francisco, CA",2022-09-19 00:00:00,120000,120000,N/A,N/A
Amazon,"San Francisco, CA",2022-09-25 00:00:00,120000,115000,5000,N/A
Agilent Technologies,"Santa Clara, CA",2022-09-13 00:00:00,120000,110000,N/A,10000
Lockheed Martin,"Sunnyvale, CA",2022-09-24 00:00:00,116250,110000,6300,N/A
First Republic Bank,"San Francisco, CA",2022-09-30 00:00:00,115000,100000,N/A,15000
First Republic Bank,"San Francisco, CA",2022-09-30 00:00:00,115000,100000,N/A,15000
Raytheon,"San Francisco, CA",2022-09-30 00:00:00,115000,115000,N/A,N/A
Cisco,"San Jose, CA",2022-09-21 00:00:00,113000,113000,N/A,N/A
Google,"San Francisco, CA",2022-09-19 00:00:00,112500,100000,12500,N/A
LinkedIn,"Sunnyvale, CA",2022-09-28 00:00:00,112340,99800,12500,N/A
Woven Planet Group,"Palo Alto, CA",2022-09-28 00:00:00,112000,112000,N/A,N/A
SAP,"Palo Alto, CA",2022-09-12 00:00:00,110000,103000,N/A,7000
Zscaler,"San Jose, CA",2022-09-10 00:00:00,110000,110000,N/A,N/A
Amobee,"Redwood City, CA",2022-09-14 00:00:00,107520,107500,N/A,N/A
N/A,N/A,N/A,107000,100000,N/A,7000
Raytheon,"San Jose, CA",2022-09-22 00:00:00,106000,103000,N/A,3000
Navitus,"San Francisco, CA",2022-10-03 00:00:00,102500,100000,2500,N/A
Google,"San Francisco, CA",2022-09-15 00:00:00,102500,100000,2500,N/A
Accenture,"San Francisco, CA",2022-10-02 00:00:00,102000,92000,N/A,10000
Wells Fargo,"San Francisco, CA",2022-09-27 00:00:00,102000,95000,N/A,7000
Accenture,"San Francisco, CA",2022-10-05 00:00:00,101586,96200,N/A,5400
BNY Mellon,"San Jose, CA",2022-09-13 00:00:00,100000,100000,N/A,N/A
Apple,"Cupertino, CA",2022-09-20 00:00:00,99000,94000,5000,N/A
Omnicell,"Santa Clara, CA",2022-09-19 00:00:00,94000,88000,N/A,6000
IBM,"San Jose, CA",2022-10-02 00:00:00,80080,80100,N/A,N/A
N/A,N/A,N/A,75000,75000,N/A,N/A
HCL Technologies,"Mountain View, CA",2022-09-28 00:00:00,72000,72000,N/A,N/A
Apple,"San Jose, CA",2022-09-20 00:00:00,56250,45000,11300,N/A
N/A,N/A,N/A,50000,50000,N/A,N/A
Amazon,"Sunnyvale, CA",2022-09-28 00:00:00,40000,40000,N/A,N/A
WePay,"Palo Alto, CA",2022-10-03 00:00:00,28106,21100,N/A,7000
Ansys,"San Jose, CA",2022-09-08 00:00:00,12500,12500,N/A,N/A
Amazon,"Los Angeles, CA",2022-09-21 00:00:00,356500,168000,95000,93500
Snap,"Los Angeles, CA",2022-09-07 00:00:00,348000,155000,178000,15000
Riot Games,"Los Angeles, CA",2022-09-06 00:00:00,307000,212000,10000,85000
Tencent,"Los Angeles, CA",2022-09-19 00:00:00,304000,160000,120000,24000
Amazon,"Los Angeles, CA",2022-09-11 00:00:00,260000,165000,95000,N/A
Amazon,"Los Angeles, CA",2022-09-24 00:00:00,246500,146500,100000,N/A
Intel,"Los Angeles, CA",2022-10-04 00:00:00,238000,168000,50000,20000
Atlassian,"Los Angeles, CA",2022-09-21 00:00:00,233554,144100,75000,14400
Google,"Irvine, CA",2022-09-23 00:00:00,232000,145000,50000,37000
Google,"Los Angeles, CA",2022-09-23 00:00:00,225000,175000,50000,N/A
Netflix,"Los Angeles, CA",2022-09-24 00:00:00,225000,225000,N/A,N/A
Snap,"Los Angeles, CA",2022-09-28 00:00:00,215000,150000,50000,15000
Netflix,"Los Angeles, CA",2022-10-05 00:00:00,207500,205000,N/A,2500
LinkedIn,"San Fernando, CA",2022-09-06 00:00:00,207000,167000,40000,N/A
VMware,"Los Angeles, CA",2022-09-16 00:00:00,199400,142000,40000,17400
Walmart,"Los Angeles, CA",2022-09-21 00:00:00,199000,150000,25000,24000
Google,"Los Angeles, CA",2022-10-03 00:00:00,195000,190000,5000,N/A
Disney,"Los Angeles, CA",2022-09-26 00:00:00,192750,131000,52800,9000
Riot Games,"Los Angeles, CA",2022-09-29 00:00:00,191375,160000,8500,22900
Amazon,"Los Angeles, CA",2022-09-29 00:00:00,187150,129000,27800,30400
Snap,"Los Angeles, CA",2022-09-26 00:00:00,185000,135000,50000,N/A
Atlassian,"Los Angeles, CA",2022-09-16 00:00:00,177000,119500,37500,20000
Facebook,"Los Angeles, CA",2022-09-14 00:00:00,175000,150000,25000,N/A
Audible,"Los Angeles, CA",2022-10-01 00:00:00,171250,132000,23800,15500
Snap,"Santa Monica, CA",2022-09-29 00:00:00,165000,125000,40000,N/A
Nordstrom,"Los Angeles, CA",2022-09-22 00:00:00,162506,135500,N/A,27000
GoodRx,"Santa Monica, CA",2022-09-24 00:00:00,159000,128000,25000,6000
GoodRx,"Los Angeles, CA",2022-09-27 00:00:00,158000,110000,40000,8000
Amazon,"Irvine, CA",2022-09-19 00:00:00,157800,127800,20000,10000
Amazon,"Los Angeles, CA",2022-09-12 00:00:00,151500,129000,22500,N/A
Booz Allen Hamilton,"El Segundo, CA",2022-09-30 00:00:00,150000,135000,N/A,15000
N/A,N/A,N/A,150000,150000,N/A,N/A
Indeed,"Los Angeles, CA",2022-09-18 00:00:00,149000,120000,17000,12000
New Relic,"Los Angeles, CA",2022-09-23 00:00:00,145000,140000,5000,N/A
Amazon,"Los Angeles, CA",2022-09-13 00:00:00,142500,140000,2500,N/A
Amazon,"Los Angeles, CA",2022-09-12 00:00:00,140000,100000,40000,N/A
Google,"Los Angeles, CA",2022-10-03 00:00:00,140000,120000,20000,N/A
Capital Group,"Los Angeles, CA",2022-09-19 00:00:00,137500,110000,16500,11000
Qualcomm,"Los Angeles, CA",2022-10-05 00:00:00,134667,118000,16700,N/A
Nordstrom,"Los Angeles, CA",2022-09-25 00:00:00,134000,122000,N/A,12000
Audible,"Los Angeles, CA",2022-10-04 00:00:00,131500,129000,2500,N/A
IBM,"Los Angeles, CA",2022-10-04 00:00:00,130000,130000,N/A,N/A
Google,"Los Angeles, CA",2022-09-16 00:00:00,125000,100000,25000,N/A
Sure,"Los Angeles, CA",2022-09-13 00:00:00,125000,125000,N/A,N/A
Optum,"Los Angeles, CA",2022-10-02 00:00:00,124150,104200,10000,10000
Esri,"Los Angeles, CA",2022-09-14 00:00:00,123000,116000,N/A,7000
The Aerospace Corporation,"El Segundo, CA",2022-09-21 00:00:00,122500,110000,N/A,12500
Google,"Los Angeles, CA",2022-09-13 00:00:00,122472,122500,N/A,N/A
N/A,N/A,N/A,120000,120000,N/A,N/A
Edmunds,"Los Angeles, CA",2022-09-22 00:00:00,120000,120000,N/A,N/A
Google,"Los Angeles, CA",2022-09-18 00:00:00,120000,100000,20000,N/A
CoStar Group,"Irvine, CA",2022-09-07 00:00:00,120000,105000,5000,10000
auticon,"Ontario, CA",2022-09-13 00:00:00,119000,119000,N/A,N/A
Blizzard Entertainment,"Irvine, CA",2022-10-04 00:00:00,115000,115000,N/A,N/A
Fulgent Genetics,"El Monte, CA",2022-09-13 00:00:00,115000,75000,40000,N/A
Northrop Grumman,"Los Angeles, CA",2022-09-27 00:00:00,115000,115000,N/A,N/A
Apple,"Los Angeles, CA",2022-09-09 00:00:00,112500,100000,12500,N/A
Twitter,"Los Angeles, CA",2022-09-10 00:00:00,112500,100000,12500,N/A
AT&T,"Los Angeles, CA",2022-09-16 00:00:00,110000,100000,N/A,10000
Blizzard Entertainment,"Irvine, CA",2022-10-02 00:00:00,109707,98000,N/A,11700
Ultra Mobile,"Costa Mesa, CA",2022-09-29 00:00:00,105000,100000,N/A,5000
N/A,N/A,N/A,105000,105000,N/A,N/A
Entrepix,"Los Angeles, CA",2022-10-03 00:00:00,105000,100000,5000,N/A
Northrop Grumman,"Azusa, CA",2022-09-28 00:00:00,104000,103000,N/A,1000
Google,"Los Angeles, CA",2022-09-08 00:00:00,102500,100000,2500,N/A
Raytheon,"El Segundo, CA",2022-10-05 00:00:00,102000,102000,N/A,N/A
Google,"Los Angeles, CA",2022-09-14 00:00:00,100250,100000,250000,N/A
Cvent,"Los Angeles, CA",2022-09-09 00:00:00,100000,100000,N/A,N/A
ABC,"Los Angeles, CA",2022-09-11 00:00:00,100000,100000,N/A,N/A
Red Hat,"Los Angeles, CA",2022-09-20 00:00:00,100000,100000,N/A,N/A
Ultra Mobile,"Los Angeles, CA",2022-09-12 00:00:00,100000,100000,N/A,N/A
Northrop Grumman,"Redondo Beach, CA",2022-10-02 00:00:00,100000,100000,N/A,N/A
Abcam,"Los Angeles, CA",2022-09-07 00:00:00,100000,100000,N/A,N/A
N/A,N/A,N/A,98000,90000,8000,N/A
Medtronic,"Los Angeles, CA",2022-09-18 00:00:00,96000,96000,N/A,N/A
Capital Group,"Los Angeles, CA",2022-09-23 00:00:00,95000,95000,N/A,N/A
NASA JPL,"Los Angeles, CA",2022-09-24 00:00:00,95000,95000,N/A,N/A
IKEA,"Los Angeles, CA",2022-09-08 00:00:00,94000,94000,N/A,N/A
Booz Allen Hamilton,"Los Angeles, CA",2022-09-24 00:00:00,93500,93500,N/A,N/A
Northrop Grumman,"Redondo Beach, CA",2022-09-27 00:00:00,89400,89400,N/A,N/A
Codazen,"Irvine, CA",2022-09-30 00:00:00,86000,86000,N/A,N/A
Lockheed Martin,"Los Angeles, CA",2022-09-26 00:00:00,85215,85200,N/A,N/A
Capital Group,"Irvine, CA",2022-10-04 00:00:00,85000,85000,N/A,N/A
N/A,N/A,N/A,85000,85000,N/A,N/A
N/A,N/A,N/A,78000,78000,N/A,N/A
Google,"Los Angeles, CA",2022-09-22 00:00:00,75679,45700,30000,N/A
Stripe,"Los Angeles, CA",2022-09-11 00:00:00,60000,50000,10000,N/A
Revature,"Los Angeles, CA",2022-10-04 00:00:00,45000,45000,N/A,N/A
Revature,"Huntington Beach, CA",2022-09-13 00:00:00,45000,45000,N/A,N/A
Google,"Seattle, WA",2022-09-19 00:00:00,470000,300000,62500,107500
Microsoft,"Redmond, WA",2022-09-06 00:00:00,341000,141000,180000,20000
Lyft,"Seattle, WA",2022-09-30 00:00:00,323000,180000,120000,23000
ByteDance,"Seattle, WA",2022-09-20 00:00:00,318903,207400,45800,65700
Lyft,"Seattle, WA",2022-09-25 00:00:00,314000,158000,156000,N/A
Amazon,"Seattle, WA",2022-10-04 00:00:00,313200,193200,120000,N/A
Uber,"Seattle, WA",2022-09-21 00:00:00,307249,178000,100000,29300
Amazon,"Seattle, WA",2022-09-27 00:00:00,297250,160000,95000,42300
Flexport,"Bellevue, WA",2022-09-27 00:00:00,295500,170000,108500,17000
Amazon,"Seattle, WA",2022-09-21 00:00:00,287000,170000,70000,47000
Stripe,"Seattle, WA",2022-09-22 00:00:00,280600,146000,85000,49600
Amazon,"Bellevue, WA",2022-09-21 00:00:00,279750,175000,60300,44500
Amazon,"Seattle, WA",2022-09-22 00:00:00,271083,152100,89000,30000
Uber,"Seattle, WA",2022-09-14 00:00:00,269625,168700,65400,35500
