Company,Location,Date of Posting,Total Compensation,Base,Stock,Bonuses
Stripe,"Seattle, WA",2022-09-26 00:00:00,265600,146000,85000,34600
Stripe,"Seattle, WA",2022-09-22 00:00:00,265600,146000,85000,34600
Stripe,"Seattle, WA",2022-09-19 00:00:00,265600,146000,85000,34600
Stripe,"Seattle, WA",2022-09-19 00:00:00,265600,146000,85000,34600
ByteDance,"Seattle, WA",2022-09-13 00:00:00,265000,178000,42000,45000
ByteDance,"Seattle, WA",2022-10-01 00:00:00,265000,195000,40000,30000
Amazon,"Seattle, WA",2022-10-03 00:00:00,261775,129000,95000,37800
Stripe,"Seattle, WA",2022-09-22 00:00:00,260600,146000,85000,29600
Google,"Seattle, WA",2022-09-20 00:00:00,260000,180000,80000,N/A
Amazon,"Seattle, WA",2022-09-22 00:00:00,258500,165000,93500,N/A
Amazon,"Seattle, WA",2022-09-21 00:00:00,257000,173000,84000,N/A
Amazon,"Seattle, WA",2022-09-21 00:00:00,253192,150800,102400,N/A
Amazon,"Seattle, WA",2022-09-14 00:00:00,252500,177500,47000,28000
Amazon,"Seattle, WA",2022-09-20 00:00:00,252000,167000,85000,N/A
Amazon,"Seattle, WA",2022-09-20 00:00:00,252000,155000,97000,N/A
Amazon,"Seattle, WA",2022-09-07 00:00:00,251000,151000,100000,N/A
Oracle,"Seattle, WA",2022-09-14 00:00:00,250000,150000,100000,N/A
Amazon,"Seattle, WA",2022-09-28 00:00:00,248000,163000,59500,25500
Amazon,"Seattle, WA",2022-09-21 00:00:00,245938,152100,61300,32500
Amazon,"Seattle, WA",2022-09-09 00:00:00,245000,155000,50000,40000
Amazon,"Seattle, WA",2022-09-27 00:00:00,245000,120000,125000,N/A
Amazon,"Seattle, WA",2022-09-20 00:00:00,242000,152000,90000,N/A
Amazon,"Seattle, WA",2022-09-19 00:00:00,240000,155000,85000,N/A
Facebook,"Seattle, WA",2022-09-19 00:00:00,240000,165000,75000,N/A
Atlassian,"Seattle, WA",2022-09-30 00:00:00,238950,157000,62500,19500
Google,"Seattle, WA",2022-09-06 00:00:00,236000,127000,90000,19000
Indeed,"Seattle, WA",2022-09-27 00:00:00,234500,170000,37500,27000
Oracle,"Seattle, WA",2022-10-03 00:00:00,233284,150000,73300,10000
Amazon,"Bellevue, WA",2022-10-05 00:00:00,233000,120000,86000,27000
Amazon,"Seattle, WA",2022-09-27 00:00:00,230000,160000,50000,20000
Amazon,"Seattle, WA",2022-09-29 00:00:00,229375,129000,27800,72600
Amazon,"Seattle, WA",2022-09-25 00:00:00,229000,165000,43000,21000
Apple,"Seattle, WA",2022-09-19 00:00:00,228125,150000,61900,16300
Amazon,"Seattle, WA",2022-09-19 00:00:00,228000,152000,69000,7000
Amazon,"Seattle, WA",2022-09-16 00:00:00,226975,151900,42700,32400
Amazon,"Seattle, WA",2022-10-01 00:00:00,226000,144000,29000,53000
Qualtrics,"Seattle, WA",2022-09-27 00:00:00,225500,148000,75000,2500
Amazon,"Seattle, WA",2022-09-21 00:00:00,225000,150000,75000,N/A
Google,"Seattle, WA",2022-09-16 00:00:00,225000,200000,25000,N/A
Facebook,"Seattle, WA",2022-09-21 00:00:00,224000,160000,40000,24000
Amazon,"Seattle, WA",2022-09-30 00:00:00,223750,150000,20000,53800
Amazon,"Seattle, WA",2022-09-30 00:00:00,221258,129000,27900,64400
Databricks,"Bellevue, WA",2022-09-24 00:00:00,221225,128500,68800,24000
Coupang,"Seattle, WA",2022-09-25 00:00:00,220000,120000,100000,N/A
Amazon,"Seattle, WA",2022-09-10 00:00:00,219383,129000,27900,62500
Oracle,"Seattle, WA",2022-09-07 00:00:00,218000,138000,80000,N/A
Facebook,"Seattle, WA",2022-10-04 00:00:00,216000,160000,40000,16000
Amazon,"Seattle, WA",2022-09-07 00:00:00,212897,152000,60900,N/A
Oracle,"Seattle, WA",2022-09-24 00:00:00,212500,145000,60000,7500
Microsoft,"Redmond, WA",2022-09-22 00:00:00,212350,153200,36000,23200
Microsoft,"Redmond, WA",2022-09-13 00:00:00,212150,129000,50000,33200
Apple,"Seattle, WA",2022-09-30 00:00:00,212000,150000,50000,12000
Microsoft,"Seattle, WA",2022-09-17 00:00:00,211000,176000,22000,13000
Microsoft,"Redmond, WA",2022-09-13 00:00:00,210200,136700,32500,41000
Facebook,"Seattle, WA",2022-09-08 00:00:00,210000,159000,35000,16000
Tesla,"Seattle, WA",2022-09-29 00:00:00,210000,160000,50000,N/A
Microsoft,"Redmond, WA",2022-10-04 00:00:00,210000,145000,45000,20000
Microsoft,"Seattle, WA",2022-09-29 00:00:00,209900,144000,37500,28400
Google,"Seattle, WA",2022-10-03 00:00:00,208500,135000,53000,20500
Amazon,"Seattle, WA",2022-09-11 00:00:00,208000,189000,19000,N/A
Amazon,"Seattle, WA",2022-09-25 00:00:00,207903,136500,21800,49700
Amazon,"Seattle, WA",2022-09-20 00:00:00,206850,129000,27800,50100
Microsoft,"Redmond, WA",2022-09-23 00:00:00,206300,129000,37500,39800
Amazon,"Seattle, WA",2022-09-12 00:00:00,204250,148000,33800,22500
Amazon,"Seattle, WA",2022-09-22 00:00:00,202000,162000,40000,N/A
Microsoft,"Seattle, WA",2022-10-03 00:00:00,202000,141000,40000,21000
Amazon,"Seattle, WA",2022-09-26 00:00:00,201000,156000,15000,30000
Microsoft,"Bellevue, WA",2022-09-07 00:00:00,201000,141000,40000,20000
Amazon,"Seattle, WA",2022-09-23 00:00:00,200000,160000,40000,N/A
Amazon,"Seattle, WA",2022-09-18 00:00:00,200000,160000,40000,N/A
Facebook,"Seattle, WA",2022-09-25 00:00:00,200000,120000,50000,30000
Electronic Arts,"Seattle, WA",2022-09-19 00:00:00,200000,140000,30000,30000
Microsoft,"Redmond, WA",2022-10-01 00:00:00,197500,130000,30000,37500
Chewy,"Bellevue, WA",2022-09-19 00:00:00,197000,125000,31000,41000
UiPath,"Bellevue, WA",2022-09-16 00:00:00,196750,130000,46300,20500
UiPath,"Bellevue, WA",2022-09-12 00:00:00,195500,130000,45000,20500
UiPath,"Bellevue, WA",2022-09-08 00:00:00,195500,130000,45000,20500
Coinbase,"Seattle, WA",2022-09-06 00:00:00,195000,145000,50000,N/A
Amazon,"Seattle, WA",2022-10-02 00:00:00,195000,150000,45000,N/A
Amazon,"Seattle, WA",2022-09-28 00:00:00,193750,150000,18800,25000
Microsoft,"Seattle, WA",2022-09-21 00:00:00,193750,120000,43800,30000
Microsoft,"Bellevue, WA",2022-09-10 00:00:00,193650,118400,30000,45300
Microsoft,"Redmond, WA",2022-10-04 00:00:00,193000,143000,30000,20000
Microsoft,"Redmond, WA",2022-10-05 00:00:00,192540,133500,35000,24000
Amazon,"Seattle, WA",2022-09-06 00:00:00,192500,142000,17500,N/A
Microsoft,"Redmond, WA",2022-09-22 00:00:00,192450,118000,40000,34500
Apple,"Seattle, WA",2022-09-30 00:00:00,192000,140000,40000,12000
Disney,"Seattle, WA",2022-09-30 00:00:00,191000,165000,15000,11000
Amazon,"Seattle, WA",2022-10-04 00:00:00,190500,140000,22000,28500
Amazon,"Seattle, WA",2022-10-04 00:00:00,190000,145000,45000,N/A
Amazon,"Seattle, WA",2022-09-16 00:00:00,190000,130000,30000,30000
Amazon,"Seattle, WA",2022-09-26 00:00:00,190000,150000,40000,N/A
Microsoft,"Redmond, WA",2022-09-22 00:00:00,190000,130000,45000,15000
ByteDance,"Seattle, WA",2022-09-19 00:00:00,190000,150000,40000,N/A
Facebook,"Seattle, WA",2022-09-19 00:00:00,190000,150000,40000,N/A
Amazon,"Seattle, WA",2022-09-13 00:00:00,189650,129000,27800,32900
Amazon,"Seattle, WA",2022-09-20 00:00:00,189000,129000,10000,50000
Microsoft,"Redmond, WA",2022-09-20 00:00:00,187450,118500,35000,34000
Amazon,"Seattle, WA",2022-09-10 00:00:00,187040,140000,47000,N/A
Microsoft,"Redmond, WA",2022-09-27 00:00:00,187000,145000,30000,12000
Microsoft,"Bellevue, WA",2022-09-15 00:00:00,186740,118400,40000,28300
Amazon,"Seattle, WA",2022-10-01 00:00:00,186000,140000,30000,16000
Microsoft,"Redmond, WA",2022-09-19 00:00:00,185540,136500,24000,25000
Amazon,"Seattle, WA",2022-09-25 00:00:00,185500,144000,33000,8500
Microsoft,"Redmond, WA",2022-09-27 00:00:00,185000,141000,30000,14000
Amazon,"Seattle, WA",2022-09-15 00:00:00,185000,135000,10000,40000
Microsoft,"Seattle, WA",2022-09-30 00:00:00,184800,127800,45000,12000
Facebook,"Seattle, WA",2022-09-08 00:00:00,184800,118000,55000,11800
Facebook,"Seattle, WA",2022-09-19 00:00:00,184175,118000,37500,28700
Microsoft,"Redmond, WA",2022-09-07 00:00:00,184000,144000,20000,20000
Salesforce,"Bellevue, WA",2022-09-13 00:00:00,183600,136000,25000,22600
Amazon,"Seattle, WA",2022-09-06 00:00:00,183500,155000,12500,16000
Microsoft,"Seattle, WA",2022-09-15 00:00:00,183400,118400,30000,35000
Microsoft,"Redmond, WA",2022-09-25 00:00:00,183400,118400,30000,35000
Amazon,"Seattle, WA",2022-09-30 00:00:00,182000,135000,17000,30000
SpaceX,"Redmond, WA",2022-09-25 00:00:00,181600,120000,61600,N/A
Salesforce,"Seattle, WA",2022-09-23 00:00:00,181050,133000,25000,23100
GitHub,"Seattle, WA",2022-09-25 00:00:00,181000,140000,18000,23000
Uber,"Seattle, WA",2022-09-29 00:00:00,180500,130000,25300,25300
Salesforce,"Bellevue, WA",2022-09-13 00:00:00,180321,133000,25000,22300
Amazon,"Seattle, WA",2022-09-21 00:00:00,180300,129000,27800,23600
Expedia,"Seattle, WA",2022-09-08 00:00:00,180000,120000,40000,20000
Amazon,"Seattle, WA",2022-09-12 00:00:00,180000,130000,25000,25000
Amazon,"Seattle, WA",2022-09-20 00:00:00,179883,140000,21900,18000
Amazon,"Seattle, WA",2022-09-16 00:00:00,179745,130000,26400,23300
Amazon,"Seattle, WA",2022-09-28 00:00:00,179433,129000,27900,22600
Amazon,"Seattle, WA",2022-09-21 00:00:00,179433,129000,27900,22600
Amazon,"Seattle, WA",2022-09-16 00:00:00,179433,129000,27900,22600
Amazon,"Seattle, WA",2022-09-30 00:00:00,179433,129000,27900,22600
Amazon,"Seattle, WA",2022-09-23 00:00:00,179433,129000,27900,22600
Amazon,"Seattle, WA",2022-09-25 00:00:00,179433,129000,27900,22600
Amazon,"Seattle, WA",2022-09-19 00:00:00,179433,129000,27900,22600
Amazon,"Seattle, WA",2022-09-24 00:00:00,179383,129000,27900,22500
Amazon,"Seattle, WA",2022-09-18 00:00:00,179375,129000,27900,22500
Amazon,"Seattle, WA",2022-09-17 00:00:00,179275,129000,27800,22500
Amazon,"Bellevue, WA",2022-09-15 00:00:00,179250,129000,27800,22500
Microsoft,"Redmond, WA",2022-09-22 00:00:00,179000,129000,50000,N/A
Salesforce,"Seattle, WA",2022-09-19 00:00:00,179000,140000,25000,14000
ServiceNow,"Kirkland, WA",2022-10-04 00:00:00,178000,130000,35000,13000
Microsoft,"Redmond, WA",2022-09-27 00:00:00,177870,136700,27500,13700
Amazon,"Seattle, WA",2022-09-30 00:00:00,177683,129000,27900,20800
Amazon,"Seattle, WA",2022-09-14 00:00:00,177683,129000,27900,20800
Amazon,"Seattle, WA",2022-09-14 00:00:00,177683,129000,27900,20800
Amazon,"Seattle, WA",2022-10-05 00:00:00,177500,135000,23000,19500
Amazon,"Seattle, WA",2022-09-22 00:00:00,176933,129000,27900,20100
Amazon,"Seattle, WA",2022-09-21 00:00:00,176775,129000,27800,20000
Amazon,"Seattle, WA",2022-09-08 00:00:00,176750,129000,27800,20000
Amazon,"Seattle, WA",2022-09-13 00:00:00,176750,129000,27500,20300
Amazon,"Seattle, WA",2022-09-28 00:00:00,176683,129000,27900,19800
Microsoft,"Bellevue, WA",2022-09-29 00:00:00,176580,129000,32500,15100
Okta,"Seattle, WA",2022-09-09 00:00:00,176000,135000,27500,13500
Microsoft,"Redmond, WA",2022-09-30 00:00:00,176000,130000,30000,16000
Microsoft,"Seattle, WA",2022-09-19 00:00:00,176000,136000,40000,N/A
Amazon,"Seattle, WA",2022-09-19 00:00:00,175750,129000,25000,21800
Gemini,"Seattle, WA",2022-10-05 00:00:00,175000,175000,N/A,N/A
Oracle,"Seattle, WA",2022-09-23 00:00:00,175000,135000,40000,N/A
Google,"Seattle, WA",2022-09-13 00:00:00,175000,125000,50000,N/A
Amazon,"Seattle, WA",2022-10-01 00:00:00,175000,150000,25000,N/A
Uber,"Seattle, WA",2022-09-09 00:00:00,173750,130000,25300,18500
Microsoft,"Redmond, WA",2022-09-30 00:00:00,173400,118400,30000,25000
Microsoft,"Redmond, WA",2022-09-07 00:00:00,173400,118400,30000,25000
Microsoft,"Redmond, WA",2022-09-26 00:00:00,173275,118400,37500,17400
Microsoft,"Redmond, WA",2022-09-21 00:00:00,173000,130000,30000,13000
Amazon,"Seattle, WA",2022-09-19 00:00:00,173000,130000,3000,40000
Microsoft,"Seattle, WA",2022-09-09 00:00:00,172300,118000,30000,24300
SpaceX,"Seattle, WA",2022-09-07 00:00:00,172000,120000,52000,N/A
Amazon,"Seattle, WA",2022-09-18 00:00:00,172000,125000,32000,15000
Google,"Seattle, WA",2022-09-11 00:00:00,170850,129000,22500,19400
Amazon,"Seattle, WA",2022-10-04 00:00:00,170000,120000,50000,N/A
Amazon,"Seattle, WA",2022-09-28 00:00:00,170000,140000,30000,N/A
Amazon,"Seattle, WA",2022-09-26 00:00:00,170000,170000,N/A,N/A
Amazon,"Seattle, WA",2022-09-06 00:00:00,170000,138000,32000,N/A
Microsoft,"Seattle, WA",2022-09-29 00:00:00,170000,130000,40000,N/A
Amazon,"Seattle, WA",2022-10-02 00:00:00,170000,170000,N/A,N/A
Convoy,"Seattle, WA",2022-09-27 00:00:00,170000,135000,35000,N/A
Amazon,"Seattle, WA",2022-09-07 00:00:00,170000,130000,40000,N/A
Amazon,"Seattle, WA",2022-09-15 00:00:00,169908,129000,27900,13000
Microsoft,"Seattle, WA",2022-09-19 00:00:00,169625,110000,30000,29600
Microsoft,"Seattle, WA",2022-10-04 00:00:00,169540,132400,20000,17100
Expedia,"Seattle, WA",2022-09-07 00:00:00,169000,119000,40000,10000
Zillow,"Seattle, WA",2022-09-07 00:00:00,168750,130000,32500,6300
Google,"Seattle, WA",2022-09-13 00:00:00,168550,127000,22500,19100
Amazon,"Seattle, WA",2022-09-30 00:00:00,168251,125400,25000,17900
Amazon,"Seattle, WA",2022-09-16 00:00:00,168000,125000,3000,40000
Salesforce,"Seattle, WA",2022-09-24 00:00:00,168000,130000,25000,13000
Amazon,"Seattle, WA",2022-09-14 00:00:00,167800,119800,21000,27000
Amazon,"Seattle, WA",2022-09-13 00:00:00,167750,129000,23800,15000
Amazon,"Seattle, WA",2022-09-17 00:00:00,167500,125000,25000,17500
Microsoft,"Redmond, WA",2022-10-02 00:00:00,167500,112500,30000,25000
Amazon,"Seattle, WA",2022-09-06 00:00:00,167000,129000,24000,14000
Amazon,"Seattle, WA",2022-09-15 00:00:00,166750,129000,23800,14000
Amazon,"Seattle, WA",2022-09-29 00:00:00,165800,119800,21000,25000
Amazon,"Seattle, WA",2022-09-20 00:00:00,164000,139000,25000,N/A
Amazon,"Seattle, WA",2022-09-29 00:00:00,164000,129000,25000,10000
Addepar,"Seattle, WA",2022-09-26 00:00:00,163280,130000,23300,10000
Amazon,"Seattle, WA",2022-10-04 00:00:00,163000,113000,50000,N/A
Amazon,"Seattle, WA",2022-09-27 00:00:00,163000,138000,20000,5000
Amazon,"Seattle, WA",2022-09-28 00:00:00,162250,129000,24500,8800
Microsoft,"Redmond, WA",2022-09-09 00:00:00,162150,118400,35000,8800
Microsoft,"Redmond, WA",2022-09-09 00:00:00,160250,118000,30000,12300
Twitter,"Seattle, WA",2022-09-09 00:00:00,160000,130000,30000,N/A
Amazon,"Seattle, WA",2022-09-17 00:00:00,160000,150000,10000,N/A
Microsoft,"Seattle, WA",2022-09-27 00:00:00,160000,130000,30000,N/A
MediaTek,"Seattle, WA",2022-09-30 00:00:00,160000,120000,40000,N/A
Amazon,"Bellevue, WA",2022-09-13 00:00:00,159000,139000,20000,N/A
Amazon,"Seattle, WA",2022-09-09 00:00:00,158500,115000,20500,23000
Adobe,"Seattle, WA",2022-09-16 00:00:00,158375,126000,28100,4300
F5 Networks,"Seattle, WA",2022-09-28 00:00:00,157150,136500,7000,13700
F5 Networks,"Seattle, WA",2022-09-29 00:00:00,157150,136500,7000,13700
Amazon,"Seattle, WA",2022-10-01 00:00:00,156100,126100,20000,10000
Microsoft,"Redmond, WA",2022-09-12 00:00:00,155000,125000,30000,N/A
Microsoft,"Seattle, WA",2022-09-24 00:00:00,155000,115000,30000,10000
Expedia,"Seattle, WA",2022-09-27 00:00:00,154563,148000,6600,N/A
Amazon,"Seattle, WA",2022-09-15 00:00:00,154000,129000,25000,N/A
Microsoft,"Redmond, WA",2022-10-03 00:00:00,154000,115000,30000,9000
Amazon,"Seattle, WA",2022-09-19 00:00:00,154000,129000,25000,N/A
Uber,"Seattle, WA",2022-09-23 00:00:00,153500,128300,25300,N/A
Aurora,"Seattle, WA",2022-09-15 00:00:00,153000,128000,15000,10000
Expedia,"Seattle, WA",2022-09-21 00:00:00,153000,123000,10000,20000
Amazon,"Bellevue, WA",2022-09-13 00:00:00,153000,130000,23000,N/A
Axon,"Seattle, WA",2022-09-18 00:00:00,151583,120000,18300,13300
Zulily,"Seattle, WA",2022-09-21 00:00:00,150000,125000,15000,10000
Nordstrom,"Seattle, WA",2022-09-29 00:00:00,150000,130000,N/A,20000
Gordian Software,"Seattle, WA",2022-10-02 00:00:00,150000,150000,N/A,N/A
Microsoft,"Redmond, WA",2022-09-15 00:00:00,148400,118400,30000,N/A
Chubb,"Seattle, WA",2022-09-29 00:00:00,148000,133000,N/A,15000
Microsoft,"Redmond, WA",2022-09-06 00:00:00,148000,118000,30000,N/A
Microsoft,"Seattle, WA",2022-09-07 00:00:00,148000,118000,30000,N/A
Amazon,"Seattle, WA",2022-09-27 00:00:00,147500,130000,17500,N/A
Nordstrom,"Seattle, WA",2022-09-24 00:00:00,147000,120000,N/A,27000
Microsoft,"Redmond, WA",2022-09-21 00:00:00,146000,123500,22500,N/A
Amazon,"Seattle, WA",2022-09-21 00:00:00,145740,120400,2300,23000
Microsoft,"Seattle, WA",2022-10-04 00:00:00,145000,115000,30000,N/A
REI,"Bellevue, WA",2022-09-14 00:00:00,145000,130000,15000,N/A
Microsoft,"Seattle, WA",2022-09-07 00:00:00,145000,118000,17000,10000
Microsoft,"Seattle, WA",2022-09-29 00:00:00,145000,115000,30000,N/A
Expedia,"Seattle, WA",2022-09-09 00:00:00,144000,119000,10000,15000
Microsoft,"Redmond, WA",2022-09-23 00:00:00,143000,120000,12000,11000
Expedia,"Seattle, WA",2022-09-07 00:00:00,142000,127000,10000,5000
Optimizely,"Seattle, WA",2022-09-14 00:00:00,140000,140000,N/A,N/A
Amazon,"Seattle, WA",2022-09-06 00:00:00,138000,138000,N/A,N/A
Qualtrics,"Seattle, WA",2022-09-15 00:00:00,136500,130000,N/A,6500
Cisco,"Seattle, WA",2022-10-03 00:00:00,136281,106000,25000,5300
Amazon,"Seattle, WA",2022-09-22 00:00:00,136000,134000,2000,N/A
Amazon,"Seattle, WA",2022-09-21 00:00:00,135003,104200,18100,12800
Amazon,"Seattle, WA",2022-09-19 00:00:00,135003,104200,18100,12800
Amazon,"Seattle, WA",2022-09-14 00:00:00,135003,104200,18100,12800
Amazon,"Seattle, WA",2022-10-04 00:00:00,135000,130000,5000,N/A
Microsoft,"Seattle, WA",2022-09-06 00:00:00,135000,110000,25000,N/A
Amazon,"Seattle, WA",2022-09-29 00:00:00,135000,130000,5000,N/A
Microsoft,"Redmond, WA",2022-09-16 00:00:00,132600,116800,6000,9800
Amazon,"Seattle, WA",2022-09-20 00:00:00,132000,112000,20000,N/A
Amazon,"Seattle, WA",2022-09-25 00:00:00,131400,129000,2400,N/A
Google,"Seattle, WA",2022-09-15 00:00:00,131000,110000,11000,10000
Amazon,"Seattle, WA",2022-09-26 00:00:00,130000,100000,30000,N/A
Microsoft,"Seattle, WA",2022-09-13 00:00:00,130000,125000,5000,N/A
Amazon,"Seattle, WA",2022-09-26 00:00:00,129863,115400,14400,N/A
Microsoft,"Bellevue, WA",2022-09-07 00:00:00,128000,118000,10000,N/A
Amazon,"Seattle, WA",2022-09-26 00:00:00,127000,112000,15000,N/A
DocuSign,"Seattle, WA",2022-10-03 00:00:00,127000,114000,10000,3000
Blue Origin,"Kent, WA",2022-09-25 00:00:00,127000,127000,N/A,N/A
Nordstrom,"Seattle, WA",2022-10-03 00:00:00,126500,115000,N/A,11500
Amazon,"Seattle, WA",2022-09-09 00:00:00,125000,120000,5000,N/A
WarnerMedia,"Seattle, WA",2022-09-13 00:00:00,125000,120000,5000,N/A
Amazon,"Seattle, WA",2022-09-13 00:00:00,120100,120100,N/A,N/A
Amazon,"Seattle, WA",2022-09-24 00:00:00,120000,120000,N/A,N/A
Nordstrom,"Seattle, WA",2022-09-14 00:00:00,120000,110000,N/A,10000
Blue Origin,"Kent, WA",2022-09-07 00:00:00,115000,106000,9000,N/A
Amazon,"Seattle, WA",2022-09-18 00:00:00,112000,112000,N/A,N/A
JPMorgan Chase,"Seattle, WA",2022-09-25 00:00:00,110000,105000,N/A,5000
Amazon,"Bellevue, WA",2022-10-04 00:00:00,110000,110000,N/A,N/A
Slalom,"Seattle, WA",2022-09-15 00:00:00,108000,100000,N/A,8000
Microsoft,"Seattle, WA",2022-09-11 00:00:00,106615,81200,25400,N/A
Accenture,"Redmond, WA",2022-09-15 00:00:00,104000,104000,N/A,N/A
Wyze,"Kirkland, WA",2022-09-28 00:00:00,100000,100000,N/A,N/A
N/A,N/A,N/A,100000,100000,N/A,N/A
KPMG,"Seattle, WA",2022-09-22 00:00:00,100000,90000,N/A,10000
Amazon,"Seattle, WA",2022-10-03 00:00:00,98000,98000,N/A,N/A
Liberty Mutual,"Seattle, WA",2022-09-29 00:00:00,96000,94000,N/A,2000
T-Mobile,"Bellevue, WA",2022-09-10 00:00:00,92742,82000,1700,9000
Bungie,"Bellevue, WA",2022-09-07 00:00:00,89960,90000,N/A,N/A
N/A,N/A,N/A,88000,88000,N/A,N/A
Point B,"Seattle, WA",2022-09-20 00:00:00,87000,73000,2000,12000
PACCAR,"Kirkland, WA",2022-09-29 00:00:00,85000,85000,N/A,N/A
Allegis Group,"Seattle, WA",2022-09-11 00:00:00,83200,83200,N/A,N/A
Northrop Grumman,"Seattle, WA",2022-09-16 00:00:00,81300,81300,N/A,N/A
Sinclair Broadcast Group,"Seattle, WA",2022-10-03 00:00:00,75000,75000,N/A,N/A
Misfits Market,"Gig Harbor, WA",2022-09-20 00:00:00,75000,75000,N/A,N/A
Cognizant,"Seattle, WA",2022-09-12 00:00:00,72000,72000,N/A,N/A
Apple,"Seattle, WA",2022-09-13 00:00:00,71553,70100,1500,N/A
Microsoft,"Seattle, WA",2022-09-29 00:00:00,68000,18000,50000,N/A
Microsoft,"Redmond, WA",2022-09-23 00:00:00,42000,42000,N/A,N/A
